Type,Title/Headline (if applicable),Body / Key Message (if applicable),Image or Video,External Link (if applicable)
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bridge of Books,https://drive.google.com/file/d/1YRaBpwygC0tc2eR8Dz7zta5vWaEiwxtQ/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story36
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Tailor’s Quiet Revolution,https://drive.google.com/file/d/1JMeu4GsuZ35yiJWuSJSkBixEf9Kla8OQ/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story37
Text over video + Link to an external URL,Life|Charmed: Quick Read,Music Beneath the Mango Tree,https://youtube.com/shorts/4tK1QTNiAz0,https://footforwardfund.org/charmed-life-updates.html#story38
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,She Saved a River,https://drive.google.com/file/d/1FkNlVitEtz7kto1SvNPlxl_D7efyvQsv/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story39
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Letters to Tomorrow,https://drive.google.com/file/d/1CwJX_Uso_4jKXbktkJ5jsFuVyxcdqseS/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story40
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Photographer Who Shared Her Lens,https://drive.google.com/file/d/1QPtyAUcK71Evu-06ZKZEvsuEfmIwMAIQ/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story41
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Nurse Who Brought Music to the Ward,https://drive.google.com/file/d/1tGvmqsJeuT0N-EMoJvZf4nEySKIZmKBB/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story42
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Fisherwomen Who Turned the Tide,https://drive.google.com/file/d/1e900uwpP31jHU9Gzbk4vUxGUKHFvKlJ3/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story43
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Chalk Lines of Peace,https://drive.google.com/file/d/1IJv7tpNG3HHvzI0O9pzZQSo0BLfBaQOL/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story44
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Marathon of Many Mothers,https://drive.google.com/file/d/1w-oO2D7QDcOokjL1-Zsh4hm0VVVQ25bC/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story45
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Tailor of Second Chances,https://drive.google.com/file/d/1dsBE5RsyXGK5MPKpCn1Fk4gHv2ze2saF/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story46
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Cart That Carried Joy,https://drive.google.com/file/d/18zrIScCNqmTruVEEEo3ubRDzg1ChpRNC/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story47
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bridge School of Light,https://drive.google.com/file/d/1h46VlbgbwDZhLFZKGgihZSNi-GJo4pY9/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story48
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Threads of Reunion,https://drive.google.com/file/d/1Y2YX04BkOqCgcQw6O5KOuXNKCYfLtdYs/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story49
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Choir Beneath the Bridge,https://drive.google.com/file/d/1UIb_qAEIdYZ1oJ-RpuAlUWSbfVO9a49q/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story50
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Girl Who Repaired the Radio,https://drive.google.com/file/d/1AzlnsZd4n21z2Q9aYd_xjWmVhGf4jQnC/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story51
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Lighthouse Keeper’s Daughter,https://drive.google.com/file/d/1i_Axd5CEc0hWhyDdtPyheu7MxxwSxZ_d/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story52
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Garden Beside the Tracks,https://drive.google.com/file/d/1iXAzUqBYywPay7HsXdtRpdGl_G3o9pT3/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story53
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Runner Who Carried Water,https://drive.google.com/file/d/109abJ875qBVh5JYRz8KIyDZ7J4I5o3_j/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story54
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Lanterns Over Lake Victoria,https://drive.google.com/file/d/1PCkmNCtf4UcZ7_84qROLsoTP0TZf4VWm/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story55
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Chalkboard Beneath the Tree,https://drive.google.com/file/d/1NHKcpfuu-jyS-3KuuTHDsLkwqwgZxE28/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story56
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,She Road for Change,https://drive.google.com/file/d/18w6Au4LMPgzeqKCq8qjvamfzk8QqPBiC/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story57
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Seeds She Left Behind,https://drive.google.com/file/d/1B490e_lr1PNaEVlY1DnAf_eJqrzbfpG-/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story58
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,She Painted Crosswalks,https://drive.google.com/file/d/1yh0VMCLq6yaOa__VDaY24Z9cUIBV1ABr/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story59
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Stitching the Sky,https://drive.google.com/file/d/1D8_oRrKI8uC9qF_jco0QPHiGCfEpUZRN/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story60
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Dancer Who Couldn’t Hear the Music,https://drive.google.com/file/d/1Q9OODZU-jCiZayyZXRQYoC5-nc9j0r0v/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story61
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Market of Good Deeds,https://drive.google.com/file/d/158C-d0rGNLWyFJO7ncsNn_2TemwRYtoN/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story62
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,She Taught a City to Read,https://drive.google.com/file/d/1Xyxy6ucg7PtTeqxWhA62tjw7NaQra5B8/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story63
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Poetic Midwife,https://drive.google.com/file/d/15AJ4wyNEAtg5HzYN6hMrmdtgqyYTQBLs/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story64
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Rain Collector,https://drive.google.com/file/d/1tdxuD2aU8I04LzawDGoCn9uDrWo9v4Qm/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story65
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,She Counted Raindrops,https://drive.google.com/file/d/185_7azLXgyqFWBr2UXjlsMLH0L87H-aP/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story66
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,A Song Between Two Shores,https://drive.google.com/file/d/1Z3jMrl7pQE3_s2ju4ve0gs8oTDKrDAPU/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story67
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The River School,https://drive.google.com/file/d/14Ra4przjSVDTHpkBc4eBGc8-6TqkHNV4/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story68
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Woman Who Drew Water,https://drive.google.com/file/d/1Uy2NULxyciSemNrauaAPas57_zqgzv6r/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story69
